Date,Description,Amount
03/12/2024,GOUMET GRILL LONDON     London,3.50
03/12/2024,PERI PERI COTTAGE 01 GB UXBRIDGE,10.99
29/11/2024,HOT BOX CHICKEN         UXBRIDGE,8.50
29/11/2024,MCDONALDS RESTAURANTS L GREATER LONDON,2.29
29/11/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.35
29/11/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.70
29/11/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,11.65
27/11/2024,MCDONALDS RESTAURANTS L GREATER LONDON,2.29
27/11/2024,SHAHS HALAL FOOD UXBRI  UXBRIDGE,8.00
27/11/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,9.90
27/11/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,11.65
26/11/2024,GOUMET GRILL LONDON     London,3.50
26/11/2024,PERI PERI COTTAGE 01 GB UXBRIDGE,8.99
26/11/2024,POUNDLAND - 1275 UXBRID  UXBRIDGE,0.50
26/11/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.75
26/11/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.60
25/11/2024,PAYMENT RECEIVED - THANK YOU,-273.21
23/11/2024,SP EQVVS                NOTTINGHAM,-121.01
22/11/2024,GDK UXBRIDGE            UXBRIDGE,13.77
22/11/2024,MCDONALDS RESTAURANTS L GREATER LONDON,2.29
22/11/2024,POUNDLAND - 1275 UXBRID  UXBRIDGE,1.00
22/11/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.35
22/11/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,11.65
22/11/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,27.15
21/11/2024,AMAZON PRIME*TE9EL3TY4  AMZN.CO.UK/PM,4.49
20/11/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.70
20/11/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,14.20
19/11/2024,MCDONALDS RESTAURANTS L GREATER LONDON,2.29
19/11/2024,"RALPH LAUREN EUROPE SAR WATFORD,HERTFOR",169.00
19/11/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,9.90
19/11/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,20.10
19/11/2024,WING STOP UXBRIDGE      UXBRIDGE,13.95
18/11/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.75
18/11/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.75
15/11/2024,MCDONALDS RESTAURANTS L GREATER LONDON,2.29
15/11/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.75
15/11/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.50
15/11/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,11.20
14/11/2024,WAITROSE MILL HILL      LONDON,3.00
13/11/2024,MCDONALDS RESTAURANTS L GREATER LONDON,2.29
13/11/2024,SP EQVVS                NOTTINGHAM,132.99
13/11/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,11.20
13/11/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,17.25
