Date,Description,Amount
12/11/2024,BOOTS THE CHEMIST       UXBRIDGE,1.22
12/11/2024,KEBAB EXPRESS GB0000000 UXBRIDGE,8.99
12/11/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.10
07/11/2024,Sundaes Gelato Dessert  London,10.59
07/11/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.50
07/11/2024,TRUE CHICKEN LTD GB0000 LONDON,9.99
05/11/2024,APPLE.COM/BILL          HOLLYHILL,1.49
04/11/2024,AMAZON.CO.UK*TX49T3154  AMAZON.CO.UK,36.99
31/10/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.35
30/10/2024,PERI PERI KABABISH GB00 UXBRIDGE,5.50
30/10/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.75
30/10/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.60
30/10/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,11.65
30/10/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,11.65
29/10/2024,Kokoro                  Uxbridge,7.50
29/10/2024,POUNDLAND - 1275 UXBRID  UXBRIDGE,1.00
29/10/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.75
29/10/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,9.20
28/10/2024,NATIVE TICKETS          BRIGHTON,4.00
26/10/2024,PAYPAL *STYLEVANA       95165992,29.71
25/10/2024,ADIDAS                  HERZOGENAURACH,-742.00
25/10/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,9.10
24/10/2024,PERI PERI COTTAGE 01 GB UXBRIDGE,8.99
24/10/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.35
23/10/2024,ARTEMIS OLIVE           STANMORE,2.99
23/10/2024,PERI PERI KABABISH GB00 UXBRIDGE,4.00
23/10/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.35
22/10/2024,MCDONALDS RESTAURANTS L GREATER LONDON,1.99
22/10/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.35
21/10/2024,AMAZON PRIME*TL2BZ1CG4  AMZN.CO.UK/PM,4.49
20/10/2024,ADIDAS                  HERZOGENAURACH,742.00
18/10/2024,KEBAB EXPRESS GB0000000 UXBRIDGE,8.99
18/10/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.35
16/10/2024,AMAZON.CO.UK*T38BG6NI4  AMAZON.CO.UK,4.00
16/10/2024,MCDONALDS RESTAURANTS L GREATER LONDON,1.99
16/10/2024,SUMUP*FEASTBEAST LIMITE UXBRIDGE,3.99
16/10/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,9.10
15/10/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.10
14/10/2024,PAYMENT RECEIVED - THANK YOU,-466.76
14/10/2024,WAITROSE MILL HILL      LONDON,4.55
